ROUTE,POI0,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,COST
00453217698A,0,4,5,3,2,1,7,6,9,8,10,5413
0043675892A1,0,4,3,6,7,5,8,9,2,10,1,5508
00354628917A,0,3,5,4,6,2,8,9,1,7,10,5543
0045276893A1,0,4,5,2,7,6,8,9,3,10,1,5600
00564378219A,0,5,6,4,3,7,8,2,1,9,10,5619
00461537829A,0,4,6,1,5,3,7,8,2,9,10,5628
00436275981A,0,4,3,6,2,7,5,9,8,1,10,5683
00543276981A,0,5,4,3,2,7,6,9,8,1,10,5686
00235716894A,0,2,3,5,7,1,6,8,9,4,10,5709
00254738619A,0,2,5,4,7,3,8,6,1,9,10,5718
00435678912A,0,4,3,5,6,7,8,9,1,2,10,5770
00526438791A,0,5,2,6,4,3,8,7,9,1,10,5794
00425637819A,0,4,2,5,6,3,7,8,1,9,10,5803
00452371869A,0,4,5,2,3,7,1,8,6,9,10,5862
00346125897A,0,3,4,6,1,2,5,8,9,7,10,5865
00243678915A,0,2,4,3,6,7,8,9,1,5,10,5888
00345721698A,0,3,4,5,7,2,1,6,9,8,10,5890
0042635891A7,0,4,2,6,3,5,8,9,1,10,7,5927
0045632789A1,0,4,5,6,3,2,7,8,9,10,1,5957
0034257869A1,0,3,4,2,5,7,8,6,9,10,1,5958
0043267598A1,0,4,3,2,6,7,5,9,8,10,1,5963
0045637289A1,0,4,5,6,3,7,2,8,9,10,1,5966
00465137829A,0,4,6,5,1,3,7,8,2,9,10,5975
00245631789A,0,2,4,5,6,3,1,7,8,9,10,5979
00154372896A,0,1,5,4,3,7,2,8,9,6,10,5987
00346517892A,0,3,4,6,5,1,7,8,9,2,10,5990
00452678319A,0,4,5,2,6,7,8,3,1,9,10,5992
0032576841A9,0,3,2,5,7,6,8,4,1,10,9,5994
00546273819A,0,5,4,6,2,7,3,8,1,9,10,5995
0053267189A4,0,5,3,2,6,7,1,8,9,10,4,6035
0034571692A8,0,3,4,5,7,1,6,9,2,10,8,6050
0034627589A1,0,3,4,6,2,7,5,8,9,10,1,6055
00534728169A,0,5,3,4,7,2,8,1,6,9,10,6068
00354627891A,0,3,5,4,6,2,7,8,9,1,10,6080
0014632785A9,0,1,4,6,3,2,7,8,5,10,9,6085
0045631287A9,0,4,5,6,3,1,2,8,7,10,9,6096
00543672891A,0,5,4,3,6,7,2,8,9,1,10,6132
00234517869A,0,2,3,4,5,1,7,8,6,9,10,6137
0014625379A8,0,1,4,6,2,5,3,7,9,10,8,6140
00465372891A,0,4,6,5,3,7,2,8,9,1,10,6144
0045673892A1,0,4,5,6,7,3,8,9,2,10,1,6145
0045368729A1,0,4,5,3,6,8,7,2,9,10,1,6147
00453628179A,0,4,5,3,6,2,8,1,7,9,10,6164
00523167489A,0,5,2,3,1,6,7,4,8,9,10,6166
00546327189A,0,5,4,6,3,2,7,1,8,9,10,6167
00516473829A,0,5,1,6,4,7,3,8,2,9,10,6171
00453276891A,0,4,5,3,2,7,6,8,9,1,10,6175
00215678439A,0,2,1,5,6,7,8,4,3,9,10,6219
00254638791A,0,2,5,4,6,3,8,7,9,1,10,6222
